Verbs,Meaning
やる,to do
しまう,"to finish, to close, put an end"
またぐ,to straddle
ぼやく,"to grumble, to complain"
よこす,"(1) to send, to forward,(2) to hand over (e.g. money)"
こぼす,to spill
だます,"to trick, to cheat, to deceive"
しぼむ,"to wither, to fade (away), to shrivel, to wilt"
くるむ,"to be engulfed in, to be enveloped by, to wrap up, to tuck in to bed"
かかる,to take time or money
ちぎる,"to cut up fine, to pick (fruit)"
できる,"to be able to, to be ready, to occur"
なぐる,"to strike, to hit"
あげる,to give
かける,to call by phone
つける,to turn on
かじる,"to chew, to bite (at), to gnaw, to nibble"
ばてる,"to be exhausted, to be worn out"
ゆでる,to boil
うなる,"to groan, to moan"
どなる,"to shout, to yell"
あびる,"to bathe, to shower"
あぶる,to scorch
ダブる,"to coincide (fall on the same day), to have two of something, to repeat a school year after failing"
サボる,"to be truant, to be idle, to sabotage by slowness"
くれる,to give
ずれる,"to slide, to slip off"
ぬれる,to get wet
からかう,"to ridicule, to tease, to banter with, to make fun of"
ためらう,to hesitate
つまずく,"to stumble, to trip"
まごつく,"to be confused, to be flustered"
くっつく,"to adhere to, to keep close to"
おどかす,"to threaten, to coerce"
ひきだす,to withdraw
しゃがむ,to squat
こらえる,"to bear, to stand, to endure, to put up with"
ぶつかる,"to strike, to collide with"
ふざける,"to romp, to gambol, to frolic, to joke"
ぶつける,"to knock, to run into, to nail on, to strike hard, to hit and attack"
ぼやける,"to become dim, to become blurred"
しくじる,"to fail, to fall through, to blunder"
あわてる,to become confused
しゃぶる,"to suck, to chew"
しゃべる,"to talk, to chat, to chatter"
いじめる,to tease
あきれる,"to be amazed, to be shocked"
もたれる,"to lean against, to lean on, to recline on, to lie heavy (on the stomach)"
しびれる,"to become numb, to go to sleep (i.e., a limb)"
あふれる,"to flood, to overflow, to brim over"
こぼれる,"to overflow, to spill"
こだわる,"to fuss over, to be particular about, to be concerned about"
すれちがう,"to pass by one another, to disagree"
こしらえる,"to make, to manufacture"
かわいがる,"to love, to be affectionate"
ぶらさげる,"to hang, to suspend, to dangle, to swing"
くっつける,to attach
やっつける,"to attack (an enemy), to beat, to do away with, to finish off"
コピーする,to copy
けんかする,to quarrel
あてはまる,"to be applicable, to come under (a category), to fulfill"
あてはめる,"to apply, to adapt"
くたびれる,"to get tired, to wear out"
チェックする,to check
あう【会う】,to meet
あう【合う】,to match
あう【遭う】,"to meet, to encounter (undesirable nuance) "
いう【言う】,to say
おう【追う】,"to chase, to run after"
おう【負う】,"to bear, to carry on one's back, to owe"
かう【買う】,to buy
かう【飼う】,"to keep, to raise, to feed"
こう【請う】,"to ask, to request, to beg, to invite "
