Words,Translation
目を覚ましたときにはすでに日が高かった,"By the time I woke up, the sun was already high in the sky."
その服を着ると背が高く見えるね,You look taller in that dress.
その費用は高すぎる,The cost is too high.
彼は高校出だ,He's a high school graduate.
高校卒業生,High school graduate.
当店で最高の品でございます,He's the best in our store
高の成績を収める,He's a high school graduate.
考え得る限り最高の結果であった,It was the best result we could think of.
あまりに高価で驚く,You'd be surprised how expensive it is.
高速道路,Highway
高速度鋼,High speed steel
高速鉄道,High speed rail
高度を保つ,Maintain altitude
高度を上げる,Increase altitude
高度の性能,Altitude performance
高度に機械化した農業,Highly mechanized agriculture
高度の専門性,Highly specialized
高度技術,Advanced technology
それには最高度の精密作業が必要である,It requires the highest degree of precision work
高度情報化社会,Highly information-oriented society
程度を高める,Increase the degree
品質を高める,Improve quality
風邪に対する抵抗力を高める,Increase resistance to colds
防災の意識を高める,Raise awareness of disaster prevention
教養を高める,Increase education
士気を高める,Boost morale
趣味を高める,Enhance hobbies
声を高める,Raise your voice
最高の条件,Best Conditions
最高の状態を保つ,Stay in tip-top shape.
機械の調子は最高だ,The machine is in great shape.
高価で売る,Sell at a high price
古本高価買い入れ,Purchase of used books at high prices
それは私には高価すぎる,That's too expensive for me.
地位が高まる,Growing status
高まる不安,Increased anxiety
高まる士気,Increased morale
高まる評価,Growing reputation
両国間の緊張が高まってきた,Tensions between the two countries are rising.
安全な飲み水に対する関心が高まっている.,Increased concern for safe drinking water.
高級の食べ物をください,Please give me some fine food.
トムとメアリーは高級ホテルに宿泊した,Tom and Mary stayed at a luxury hotel.
高級な品物を買う事は結局は損にならない,Buying luxury goods doesn't hurt in the end.
高等数学,Higher Mathematics
高等普通教育,Higher General Education
高等戦術,Higher Tactics
人類は高等哺乳動物である,Humans are higher mammals
高原を散歩するのは楽しい,I enjoy walking on the plateau.
高齢のため彼の容態が気づかわれている,"Due to his advanced age, his condition is a cause for concern."
高齢にもかかわらず,In spite of his advanced age
今年の流感は高熱が出る,This year's flu has a high fever
あの人は高熱に冒されている,He is suffering from a high fever
高熱を出す　,He has a high fever　
高熱を発する,High fever
