Sentence,Translation
・みんなで話し合って、答えを考えてください。,Please think about the answer by discussing it with everyone.
・困った時はみんなで助け合うことが大切だ。,"When in trouble, it is important to help each other."
・海外旅行から帰国後、撮った写真をお互いに見せ合った。,"After returning from a trip abroad, we showed each other the pictures we had taken."
・クリスマスパーティーではプレゼントを交換し合った。,We exchanged gifts at the Christmas party.
・その夫婦は結婚から３０年経った今でも互いに愛し合っています。,The couple still loves each other even after 30 years of marriage.
・僕とキムさんは切磋琢磨し合って、頑張って来ました。,The couple still loves each other after 30 years of marriage.
・隣の人と相談し合って、答えを考えてください。,Please consult with your neighbors and think about the answer.
・前半戦は両チーム、ボールを激しく奪い合っていた。,"In the first half of the game, both teams were fighting for the ball."
・二人とも我慢の限界に達し、殴り合いの喧嘩になった。,Both of them lost their patience and got into a fist fight.
・トムさんとジェームさんはいつもテストの点を競い合っている。,Tom and Jame are always competing with each other for test scores.
・見合って見合って〜ハッケヨイ、ノコッタ！,They looked at each other and saw each other.
・バトルロワイヤルは、学生がお互いに殺し合う映画だ。,Battle Royale is a movie about students killing each other.
・何度も喧嘩したあげく、二人は別れてしまった。,"After many quarrels, they broke up."
・モールの中をさんざん探し回ったあげく、結局欲しかったものは見つからなかった。,"After a lot of searching in the mall, I couldn't find what I wanted."
・駅で１時間も待ったあげく、彼は結局来なかった。,"We waited for an hour at the station, but he never showed up."
・３時間も並んだあげく、売り切れで食べたかった料理が注文できなかった。,"After standing in line for three hours, I couldn't order the food I wanted to eat because it was sold out."
・毎日の長時残業のあげく、体を壊し入院することになった。,"After working long hours of overtime every day, she broke down and had to be hospitalized."
・何回もの手術ものあげく、結局、病気は治りませんでした。,"After many surgeries, the disease could not be cured in the end."
・JLPT N1の合格を知ったとき、嬉しさのあまり泣いてしまった。,"When I found out that I passed the JLPT N1 exam, I was so happy that I cried."
・プレゼンテーションでは緊張のあまり、頭が真っ白になり、少しの間沈黙が続いた。,"In the presentation, I was so nervous that my mind went blank and I was silent for a while."
・テストでは考えすぎたあまり、最後まで解き終わらなかった。,I was so nervous during the presentation that my mind went blank and I was silent for a while.
・綺麗なあまり、ジェシカさんについ目がいってしまう。,He was so beautiful that he couldn't help looking at Jessica.
・彼は最近、失敗を恐れるあまり、積極的なプレーができなくなっている。,"He has been afraid of making mistakes lately, so he can't play aggressively."
・遅刻しないように急いだあまり、忘れ物をしてしまった。,He was in such a hurry to avoid being late that he forgot something.
・驚きのあまり、声も出なかった。,He was so surprised that he could not speak.
・あまりの衝撃で、昨日は一睡もできなかった。,I was so shocked that I couldn't sleep at all last night.
・彼女のあまりの美しさに、つい見惚れてしまった。,She was so beautiful that I couldn't help but admire her.
・あまりの面白さに、しばらくの間、笑いが止まらなかったほどだ。,She was so funny that I couldn't stop laughing for a while.
・あまりの忙しさで体調を崩してしまった。,I was so busy that I got sick.
・あまりの恐怖で、声が一言も出なかった。,I was so terrified that I couldn't utter a single word.
・初めてこの店で食べたけど、あまりの美味しさに、今では週２で通っています。,"I ate at this restaurant for the first time, but the food was so good that I now go there twice a week."
・いくらお金持ちでも、死んでしまったらそれまでだ。,"It doesn't matter how rich you are, if you're dead, you're dead."
・いくら良い大学を出ても、ニートなら意味がない。,"It doesn't matter how good a college degree you got, if you're a NEET, it's meaningless."
