Expression,Expn,Trans,Convo1,Convo2,Convo3,Convo4,Convo5,Convo6,Convo7,Convo8,Convo9
あいさつ,aisatsu,Greetings,おはようございます。,こんにちは。,こんばんは。,おやすみなさい。,元気ですか。ええ、元気ですよ。,いただきます。,ごちそうさまでした。,ありがとうございます。,さようなら。
生活,seikatsu,Daily life,(何かを頼む)お水をお願いします。,(注文する)これをお願いします。,(店員を呼ぶ)お願いします!,(遅れたとき)すみません。,(レストランで店員を呼ぶ)すみません!,(人に声をかける)すみません。,(電車などで人にどいてもらうとき)すみません。,(感謝の気持ちを表す)いつも すみません。,(何かを差し出す)どうぞ
緊急,kinkyuu,Emergency,痛い。,けがをしました。,誰か来てください!,助けてください!,救急車を呼んでください!,警察を呼んでください!,危ない!,やめてください。,もう一度言ってください。
あいさつをする,aisatsu o suru,Greetings,おはようございます。,お久しぶりです。ご無沙汰しております。,お変わりありませんか。はい、おかげさまで,最近、調子はどうですか。まあまあです。,お疲れさまです。お疲れ。,(先に帰るときに言う)お先に失礼します。,(部屋に入るとき)失礼します。,(その場を去るときに言う)では、失礼します。,じゃ、またね。
自己紹介をする ,jikoshokai-suru,Self-introduction,はじめまして。スミスと申します。,オーストラリア出身です。,今年、20歳になります。,大学では心理学を専攻しています。,趣味はサッカー観戦と旅行です。,世界一周旅行をするのが夢です。,販売の仕事をしています。,これからお世話になりますが、よろしくお願いします。,一緒に仕事をするのを楽しみにしています
お礼を言う・謝る,orei о iu / ayamaru,Thanking and apologizing,ありがとうございます。,ありがとう!,いろいろとお世話になり、ありがとうございました。,遅くなってすみませんでした。,申し訳ありませんでした。,ご迷惑をおかけして申し訳ありません。,先日は失礼いたしました。,ごめんなさい。,ごめん、 許して!
依頼する,irai-suru,Asking,ちよっとお願いしたいことがあるんですが。,ちよっと手伝っていただけませんか。,これを一緒に運んでほしいんですが。,それのやり方を教えてくれませんか。,もう少し待っていただけませんか。,明日の朝、 9時に駅に来てもらえる?,石川さんに連絡しといてくれる?,日本文化論のノート、貸してくれない?,.
誘う,sasou,Inviting,よかったら、今度、食事に行きませんか。,今度行ってみませんか。,今から食事に行くけど、一緒にどうですか。,田中さんもご一緒にいかがですか。,今度、みんなでカラオケに行きましょう。,来週のパーティーにはぜひいらしてください。,もう一杯いかがですか。,今、時間ある?,来週、空いてる日ある?
誘いを受ける・断る,sasoi o ukeru / kotowaru,Accepting and declining invitations,いいですね。,はい、喜んで。,ぜひ、ご一緒させてください。,ご招待いただき、ありがとうございます。,すみませんが、その日はちよっと...。,今日は予定がありますので...。,行けたら行きます。,すみません、また誘ってください。,.
質問する,shitsumon-suru,Asking a question,一つ聞いてもいいですか。,ちよっと聞いてもいい?,なぜそう思ったのですか。・どうしてそう思ったの?,レポートのテーマはなんですか。,レポートの締め切りはいつですか。,受付はどこですか。,明日の試合って、何時からだっけ?,映画はどうでしたか。,犬と猫、どっちが好き?
提案する,teian-suru,Suggesting,早めにチェックインして、街を散歩しませんか,まずお昼を食べてからにしませんか。,天ぷらはどうですか。,天ぷらとかどうですか。,天ぷらなら、富士屋がおすすめです。,少し早めに行くのがいいと思いますよ。,いいですね。やりましょう。,みんなでプレゼントを買いましょう。,.
申し出る,moushideru,Offering,少し暑いですね。窓を開けましょうか,何か冷たい飲み物を持ってきましょうか,私が先生にメールしておきましょうか。,よかったら、お手伝いしますよ。,ほかにもお手伝いできることがあったら、 言ってください。,家まで迎えに行こうか。,駅まで送るよ。,チケット、とっておくね。,.
心配する,shinpai-suru,Expressing concern,どうしたんですか。,何かあったんですか。,大丈夫ですか。,顔色が良くないですね。,どこか具合が悪いんですか。,無理しちゃダメですよ。,今日はもう帰ったほうがいいんじゃないですか。,遅いから、気をつけてくださいね。,お大事にね。
励ます,hagemasu,Encouraging,がんばってください。,きっとうまくいきますよ。,自信を持ってください。,大丈夫ですよ。,元気出してください。,またチャンスがありますよ。,まだまだこれからですよ。,あきらめないで!,.
感想を言う,kansou o iu,Impressions,すごくよかったです。,とても面白かったです。,なかなかよかったですよ。,まあまあでした。,ちょっと物足りなかったです。,あまりよくなかったです。,少し期待と違いました。,期待はずれでした。,最高でした。最低でした。
不満・苦情を言う,fuman / kujou o iu,Complaining,これはひどいです。,嫌になります。,うんざりです。,困りますね。,困ったなあ。,どうなってるんですか。,納得できません。,ちゃんとやってください。,何とかしてください。
予約する,yoyaku-suru,Making a reservation,航空券の予約をしたいんですが。,12月1日の羽田発、シンガポール行きでお願いします。,何時何分の便がありますか。,その次は何時何分ですか。,予約をお願いしたいのですが...。,予算は、飲み物を入れて一人3500円です。,キャンセル料はいつからかかりますか。,予約を変更したいんですが。,予約をキャンセルしたいんですが。
希望を言う,kibou o iu,Requesting,もっと安いのはないですか。,もう少しわかりやすく説明してもらえませんか。 ,パスタが食べたいです。,なるべく近いお店がいいです。,できれば一緒に行ってください。,一度行ってみたいです。,会えたらうれしいです。,明日までに返事がほしいです。,あまり寒いところには行きたくないです。
~は~です,~ha ~desu,N1 wa N2 desu. N1 wa A desu.,私はミラーです。,こちらはスミスさんです。,スミスさんは私の友達です。,私は教師です。,お母さんはお元気ですか。,はい、あいかわらず元気です。,あれは何というビルですか。,ああ、あれは六本木ヒルズです。,きれいなビルですね。
