Sentence,Translation
・夏休みの間、ずっと実家にいるつもりです。,I'm going to stay at my parents' house for the whole summer vacation.
・彼女が髪を切っている間、私は雑誌を読んで待ちました。,"While she was getting her hair cut, I read a magazine and waited."
・両親が旅行している間、私は家で留守番をしました。,I stayed at home while my parents were traveling.
・電車乗っている間、音楽を聞いていました。,I listened to music while I rode the train.
・昼休みの間はゲームをしてもいいです。,You can play games during the lunch break.
・旅行の間、ずっと雨が降っていました。,It was raining during the whole trip.
・講義の間、彼はずっと寝ていました。,He slept through the lecture.
・飛行機に乗っている間、ずっと映画を見ていました。,It was raining the whole time we were on the plane.
・学校にいる間は、スマホを使っていけません。,You are not allowed to use your phone while you are at school.
・妻が晩ご飯の準備をしている間、私はテレビを見ていました。,"While my wife was preparing dinner, I was watching TV."
・僕が病気の間、彼女がそばで看病してくれました。,She took care of me while I was sick.
・若い間は、失敗を恐れずどんどんチャレンジしてほしい。,"When you are young, don't be afraid to try new things."
・シャワーを浴びている間に電話がありました。,I received a phone call while I was taking a shower.
・料理をしている間に、誰かきました。,Someone called me while I was cooking.
・昨日、寝ている間に大きな地震がありました。,"Yesterday, while I was sleeping, there was a big earthquake."
・日本にいる間に、相撲を見てみたいです。,I want to see a sumo match while I am in Japan.
・両親が出かけている間に、ゲームをします。,I will play games while my parents are out.
・休みの間に、日本語を復習するつもりです。,I am going to review Japanese during my vacation.
・私が留守の間に、冷蔵庫の物を勝手に食べないでくださいね。,Please don't eat anything from the refrigerator while I'm away.
・旅行している間に、泥棒に家に入られて大切な物を盗まれました。,"While I was traveling, a thief broke into my house and stole something important from me."
・子供が外で遊んでいる間に、晩御飯を作ります。,I cook dinner while my children are playing outside.
・知らない間に、こんな時間になっていた。,I cook dinner while my children are playing outside. - It's getting late before I know it.
・暇な間に、宿題をちゃちゃっと終わらせよう。,I'll finish my homework quickly while I'm free.
・勉強している間に、疲れて寝てしまった。,I'm tired and fell asleep while studying.
・妻と子供が寝ている間に、勉強します。,I'm going to study while my wife and children are sleeping.
・野菜を茹でている間に、ソースを作りましょう。,Let's make the sauce while the vegetables are boiling.
・学生の間に、一度でいいから海外へ行ってみたい。,I want to go abroad at least once while I'm still a student.
・留守の間に、泥棒に入られました。,I was robbed while I was away.
・勉強した後で、シャワーを浴びます。,I'm going to take a shower after studying.
・電車を降りた後で、財布がないことに気がつきました。,I noticed that my wallet was missing after I got off the train.
・私はよくご飯を食べた後で、コーヒーを飲みます。,I often have a cup of coffee after eating.
・ご飯を食べた後で、この薬を飲んでください。,Please take this medicine after eating.
・最終回を見た後で、ようやくタイトルの意味がわかりました。,"After watching the last episode, I finally understood the meaning of the title."
・最近のスマホは写真を撮った後で、背景をぼかせる機能までついている。,"Recently, smartphones even have a function to blur the background after taking a picture."
・ドラマを見た後で、お風呂に入ります。,"After watching a drama, I take a bath."
・授業の後で、少し図書館で勉強しませんか。,"After class, why don't we go to the library to study for a while?"
・晩御飯の後で、歯を磨きます。,"After dinner, I'll brush my teeth."
・映画の後で、カフェでもどう？,Would you like to go to a cafe after the movie?
・今日、仕事の後で、何か予定ある？,Do you have any plans after work today?
・飲み会の後で、ちょっとカラオケでも行かない？,Do you want to go to karaoke after the party?
・パーティーの後で、友達とラーメン屋へ行った。,"After the party, I went to a noodle shop with my friends."
・この本はあまり面白くありません。,This book is not very interesting.
・昨日見た映画はあまり面白くなかった。,The movie I saw yesterday was not very interesting.
・先生の授業はあまり面白くないです。,I don't find the teacher's class very interesting.
・私は辛い食べ物があまり好きではありません。,I don't like spicy food very much.
・私はあまり会社の飲み会が好きではありません。,I don't like company drinking parties very much.
・日本はいい国ですが、日本人の働き方はあまり好きじゃありません。,"Japan is a nice country, but I don't like the way Japanese people work."
・私はお酒が飲めないので、飲み会があまり好きじゃありません。,I don't like drinking parties because I can't drink.
・彼女が料理を作ってくれましたが、あまり美味しくなかったです。,I don't like drinking parties because I don't drink.
・食堂のご飯はあまり美味しくないです。,The food in the cafeteria is not very good.
・先生すみません。昨日はあまり勉強できませんでした。,"I'm sorry, teacher. I couldn't study much yesterday."
・作文が書き終わった人は帰ってもいいですよ。,"If you have finished writing your essay, you may leave."
・借りていたDVDを見終わったので、友達に返します。,"I've finished watching the DVD I borrowed, so I'll return it to my friend."
・彼が歌い終わったら、帰りましょうか。,"When he finishes singing, let's go home."
・使い終わったら、元の場所に戻してくださいね。,"When you're done, please put it back where you found it."
・質問は話し終わってからにしてください。,Please don't ask questions until you're done talking.
・パソコンを使い終わったら、電源をきってください。,Please turn off the computer when you are done using it.
・レポートを出し終わったので、今晩カラオケにでも行かない？,"I've finished submitting my report, so why don't we go to karaoke tonight?"
・部屋を掃除し終わったので、遊びに行ってもいい？,"I've finished cleaning my room, can I go out to play?"
・ご飯を食べ終わったら、お皿を洗ってくれる？,Will you wash the dishes after we finish eating?
・部長、ようやく話し終わったと思ったら、また電話してる。,"Director, just when I thought you were finally done talking, you call me again."
・飲み終わったペットボトルはこちらに捨ててください。,Please throw away the PET bottles you have finished drinking here.
・果物の中で、マンゴーがいちばん好きです。,"Of all fruits, I like mangoes best."
・日本料理の中で、寿司がいちばん好きです。,I like sushi the best among Japanese dishes.
・クラスの中で、ジョンさんがいちばん背が高いです。,Mr. John is the tallest in the class.
・クラスの中で、キムさんがいちばん日本語が上手です。,I like sushi best among Japanese food.
・東京に行くなら電車と飛行機とバスと、どれがいちばん便利ですか。,"What is the most convenient way to go to Tokyo, by train, plane or bus?"
・映画で、何がいちばん好きですか。,What is your favorite movie?
・１２月は１年でいちばん忙しいです。,December is the busiest month of the year.
・やっぱり、嵐の中だと二宮君がいちばんかっこいいよね。,"After all, Ninomiya-kun is the best looking of all of Arashi."
・季節の中で私は春がいちばん好きです。,I like spring the best among the seasons.
・麺類の中だったら、うどんがいちばん好きかな。,I think I like udon the best among all noodles.
・車の中で、トヨタがいちばん好きです。,I like Toyota best among all the cars.
・ギターのブランドの中だったら、Fenderがいちばんいいです。,"Of all the guitar brands, Fender is the best."
・学校の食堂のメニューで、牛丼がいちばん美味しいです。,The best beef bowl is on the menu in the school cafeteria.
・この学校で、鈴木先生がいちばん怖いです。,Mr. Suzuki is the scariest teacher in this school.
・音楽ならいちばんジャズが好きです。,I like jazz music the best.
・愛という漢字がいちばん好きです。,"I like the Chinese character for ""love"" the best."
・スポーツで、いちばんバスケットボールが好きです。,I like basketball the best among sports.
・なんか変な匂いがするよ。,It smells something strange.
・どこかでいい匂いがしますね。たぶん、ステーキかな。,It smells good somewhere. Maybe it's steak.
・ジェシカさんの髪から甘い香りがしますね。,I can smell the sweet scent of Jessica's hair.
・隣の部屋から、ドンドンという音がしますね。,There's a banging sound coming from the next room.
・どこからか赤ん坊の声がしますね。,There's a baby's voice coming from somewhere.
・この飴はりんごの味がします。,This candy tastes like apples.
・このパンはコーヒーの味がします。,This bread tastes like coffee.
・なんかこの料理、変な味がしますよ。腐ってないですか。,Something tastes funny in this dish. Isn't it rotten?
・なんだか嫌な予感がする。,I have a bad feeling about this.
・遠くから女性のすすり泣くような声がして怖い。,I'm afraid to hear a woman's sobbing voice from afar.
・ちょっと飲みすぎて吐き気がする。,I drank too much and feel nauseous.
・今日、午後から雨が降るかどうか知ってる？,Do you know if it's going to rain this afternoon?
・キムさんは彼氏がいるかどうか知ってますか。,Do you know if Ms. Kim has a boyfriend?
・服を買う前に、似合うかどうか確認します。,"Do you know if Ms. Kim has a boyfriend? ・Before buying clothes, make sure they fit."
・靴を買う前に、サイズが合うかどうか履いてみます。,Do you know if you have a boyfriend?
・中古品を買うときは大きな傷があるかどうか確認してから買います。,"When I buy used goods, I check if there are any major scratches before I buy them."
・お金持ちになれるかどうかはあなたの努力次第です。,It is up to you to make the effort to become rich.
・今夜の飲み会に行けるかどうかまだわかりません。,I still don't know if I can go to the drinking party tonight.
・今、転職するかどうかすごく悩んでいます。,I'm having a hard time deciding whether or not to change jobs.
・最近喧嘩ばかりなので、彼女と別れるかどうか真剣に話し合った。,"We have been fighting a lot lately, so I had a serious talk with my girlfriend about whether we should break up or not."
・長い間、国へ帰っていないので、家族か元気かどうか心配です。,"I haven't been back to my country for a long time, so I'm worried about my family's health."
・美味しいかどうかわからないけど、一生懸命作ったの。食べてみて。,"I don't know if it's good or not, but I tried my best to make it. Please try it."
